,sc_LOAD,sc_LOAD_24,sc_LOAD_168,LOAD,LOAD_24,LOAD_168,Temperature,Hour,Day,Month
2009-01-03 01:00:00,0.5622923588039866,0.6978405315614619,0.44651162790697674,162,210.0,121.0,40.2,1,5,1
2009-01-03 02:00:00,0.5538205980066445,0.695016611295681,0.42674418604651165,159,209.0,114.0,40.0,2,5,1
2009-01-03 03:00:00,0.5509966777408638,0.6978405315614619,0.4182724252491694,158,210.0,111.0,38.92,3,5,1
2009-01-03 04:00:00,0.5594684385382059,0.6978405315614619,0.4154485049833887,161,210.0,110.0,38.48,4,5,1
2009-01-03 05:00:00,0.5735880398671096,0.706312292358804,0.4210963455149501,166,213.0,112.0,37.6,5,5,1
2009-01-03 06:00:00,0.5990033222591362,0.7232558139534884,0.4323920265780731,175,219.0,116.0,37.0,6,5,1
2009-01-03 07:00:00,0.6244186046511628,0.7514950166112957,0.44933554817275745,184,229.0,122.0,37.12,7,5,1
2009-01-03 08:00:00,0.6498338870431893,0.7627906976744186,0.4662790697674418,193,233.0,128.0,36.76,8,5,1
2009-01-03 09:00:00,0.6498338870431893,0.737375415282392,0.49451827242524915,193,224.0,138.0,39.0,9,5,1
2009-01-03 10:00:00,0.6102990033222592,0.6921926910299003,0.5114617940199335,179,208.0,144.0,42.24,10,5,1
2009-01-03 11:00:00,0.5622923588039866,0.6526578073089702,0.5058139534883721,162,194.0,142.0,45.88,11,5,1
2009-01-03 12:00:00,0.5199335548172758,0.6300664451827243,0.49169435215946844,147,186.0,137.0,48.68,12,5,1
2009-01-03 13:00:00,0.4832225913621262,0.6131229235880399,0.4662790697674418,134,180.0,128.0,51.76,13,5,1
2009-01-03 14:00:00,0.45215946843853816,0.6018272425249169,0.4408637873754153,123,176.0,119.0,53.36,14,5,1
2009-01-03 15:00:00,0.4323920265780731,0.5933554817275748,0.42392026578073083,116,173.0,113.0,53.92,15,5,1
2009-01-03 16:00:00,0.42674418604651165,0.5990033222591362,0.4210963455149501,114,175.0,112.0,53.56,16,5,1
2009-01-03 17:00:00,0.443687707641196,0.6102990033222592,0.4323920265780731,120,179.0,116.0,50.48,17,5,1
2009-01-03 18:00:00,0.5199335548172758,0.6498338870431893,0.4832225913621262,147,193.0,134.0,46.92,18,5,1
2009-01-03 19:00:00,0.5566445182724252,0.6611295681063123,0.49734219269102986,160,197.0,139.0,44.52,19,5,1
2009-01-03 20:00:00,0.5764119601328903,0.6526578073089702,0.49169435215946844,167,194.0,137.0,43.64,20,5,1
2009-01-03 21:00:00,0.5820598006644518,0.6441860465116279,0.486046511627907,169,191.0,135.0,42.88,21,5,1
2009-01-03 22:00:00,0.5848837209302326,0.6300664451827243,0.46910299003322253,170,186.0,129.0,42.6,22,5,1
2009-01-03 23:00:00,0.5707641196013289,0.6046511627906976,0.443687707641196,165,177.0,120.0,42.68,23,5,1
2009-01-04 00:00:00,0.5538205980066445,0.5792358803986711,0.4154485049833887,159,168.0,110.0,42.36,0,6,1
2009-01-04 01:00:00,0.5340531561461794,0.5622923588039866,0.3872093023255814,152,162.0,100.0,42.84,1,6,1
2009-01-04 02:00:00,0.5255813953488372,0.5538205980066445,0.3674418604651163,149,159.0,93.0,42.72,2,6,1
2009-01-04 03:00:00,0.5284053156146179,0.5509966777408638,0.3533222591362126,150,158.0,88.0,42.76,3,6,1
2009-01-04 04:00:00,0.5368770764119601,0.5594684385382059,0.34767441860465115,153,161.0,86.0,42.84,4,6,1
2009-01-04 05:00:00,0.5481727574750831,0.5735880398671096,0.3448504983388704,157,166.0,85.0,43.4,5,6,1
2009-01-04 06:00:00,0.5594684385382059,0.5990033222591362,0.34767441860465115,161,175.0,86.0,43.92,6,6,1
2009-01-04 07:00:00,0.5735880398671096,0.6244186046511628,0.35897009966777405,166,184.0,90.0,44.48,7,6,1
2009-01-04 08:00:00,0.5933554817275748,0.6498338870431893,0.3759136212624584,173,193.0,96.0,45.28,8,6,1
2009-01-04 09:00:00,0.6159468438538206,0.6498338870431893,0.4154485049833887,181,193.0,110.0,47.0,9,6,1
2009-01-04 10:00:00,0.6074750830564785,0.6102990033222592,0.4323920265780731,178,179.0,116.0,48.6,10,6,1
2009-01-04 11:00:00,0.5679401993355482,0.5622923588039866,0.42674418604651165,164,162.0,114.0,50.24,11,6,1
2009-01-04 12:00:00,0.5340531561461794,0.5199335548172758,0.4154485049833887,152,147.0,110.0,52.04,12,6,1
2009-01-04 13:00:00,0.5171096345514951,0.4832225913621262,0.412624584717608,146,134.0,109.0,53.68,13,6,1
2009-01-04 14:00:00,0.5029900332225914,0.45215946843853816,0.4098006644518273,141,123.0,108.0,55.44,14,6,1
2009-01-04 15:00:00,0.49169435215946844,0.4323920265780731,0.40415282392026575,137,116.0,106.0,56.28,15,6,1
2009-01-04 16:00:00,0.486046511627907,0.42674418604651165,0.3956810631229236,135,114.0,103.0,56.84,16,6,1
2009-01-04 17:00:00,0.49169435215946844,0.443687707641196,0.3985049833887043,137,120.0,104.0,56.0,17,6,1
2009-01-04 18:00:00,0.5312292358803986,0.5199335548172758,0.44651162790697674,151,147.0,121.0,54.84,18,6,1
2009-01-04 19:00:00,0.5453488372093023,0.5566445182724252,0.4634551495016611,156,160.0,127.0,54.6,19,6,1
2009-01-04 20:00:00,0.5368770764119601,0.5764119601328903,0.454983388704319,153,167.0,124.0,54.6,20,6,1
2009-01-04 21:00:00,0.5227574750830565,0.5820598006644518,0.44651162790697674,148,169.0,121.0,54.68,21,6,1
2009-01-04 22:00:00,0.49451827242524915,0.5848837209302326,0.42674418604651165,138,170.0,114.0,54.64,22,6,1
2009-01-04 23:00:00,0.4634551495016611,0.5707641196013289,0.3985049833887043,127,165.0,104.0,54.72,23,6,1
2009-01-05 00:00:00,0.42956810631229236,0.5538205980066445,0.3674418604651163,115,159.0,93.0,54.72,0,0,1
2009-01-05 01:00:00,0.40132890365448504,0.5340531561461794,0.33920265780730896,105,152.0,83.0,54.52,1,0,1
2009-01-05 02:00:00,0.3900332225913621,0.5255813953488372,0.3250830564784053,101,149.0,78.0,54.44,2,0,1
2009-01-05 03:00:00,0.38438538205980066,0.5284053156146179,0.3166112956810631,99,150.0,75.0,54.48,3,0,1
2009-01-05 04:00:00,0.38438538205980066,0.5368770764119601,0.3166112956810631,99,153.0,75.0,54.64,4,0,1
2009-01-05 05:00:00,0.3956810631229236,0.5481727574750831,0.3250830564784053,103,157.0,78.0,54.52,5,0,1
2009-01-05 06:00:00,0.42674418604651165,0.5594684385382059,0.3448504983388704,114,161.0,85.0,54.56,6,0,1
2009-01-05 07:00:00,0.48887043189368773,0.5735880398671096,0.38156146179401995,136,166.0,98.0,54.6,7,0,1
2009-01-05 08:00:00,0.49169435215946844,0.5933554817275748,0.4098006644518273,137,173.0,108.0,54.52,8,0,1
2009-01-05 09:00:00,0.4662790697674418,0.6159468438538206,0.42956810631229236,128,181.0,115.0,55.08,9,0,1
2009-01-05 10:00:00,0.4578073089700997,0.6074750830564785,0.454983388704319,125,178.0,124.0,55.88,10,0,1
2009-01-05 11:00:00,0.44651162790697674,0.5679401993355482,0.46910299003322253,121,164.0,129.0,57.52,11,0,1
2009-01-05 12:00:00,0.4323920265780731,0.5340531561461794,0.4662790697674418,116,152.0,128.0,59.08,12,0,1
2009-01-05 13:00:00,0.4210963455149501,0.5171096345514951,0.454983388704319,112,146.0,124.0,60.12,13,0,1
2009-01-05 14:00:00,0.40697674418604646,0.5029900332225914,0.4352159468438538,107,141.0,117.0,61.28,14,0,1
2009-01-05 15:00:00,0.40132890365448504,0.49169435215946844,0.4210963455149501,105,137.0,112.0,62.0,15,0,1
2009-01-05 16:00:00,0.40415282392026575,0.486046511627907,0.4182724252491694,106,135.0,111.0,61.92,16,0,1
2009-01-05 17:00:00,0.42674418604651165,0.49169435215946844,0.4352159468438538,114,137.0,117.0,60.28,17,0,1
2009-01-05 18:00:00,0.4832225913621262,0.5312292358803986,0.5142857142857142,134,151.0,145.0,58.44,18,0,1
2009-01-05 19:00:00,0.5114617940199335,0.5453488372093023,0.5594684385382059,144,156.0,161.0,57.48,19,0,1
2009-01-05 20:00:00,0.5086378737541528,0.5368770764119601,0.5735880398671096,143,153.0,166.0,56.76,20,0,1
2009-01-05 21:00:00,0.5001661129568106,0.5227574750830565,0.5792358803986711,140,148.0,168.0,56.16,21,0,1
2009-01-05 22:00:00,0.47475083056478407,0.49451827242524915,0.5707641196013289,131,138.0,165.0,56.24,22,0,1
2009-01-05 23:00:00,0.4408637873754153,0.4634551495016611,0.5481727574750831,119,127.0,157.0,56.16,23,0,1
2009-01-06 00:00:00,0.40697674418604646,0.42956810631229236,0.5227574750830565,107,115.0,148.0,56.36,0,1,1
2009-01-06 01:00:00,0.3872093023255814,0.40132890365448504,0.49734219269102986,100,105.0,139.0,56.56,1,1,1
2009-01-06 02:00:00,0.38156146179401995,0.3900332225913621,0.486046511627907,98,101.0,135.0,56.44,2,1,1
2009-01-06 03:00:00,0.38156146179401995,0.38438538205980066,0.4832225913621262,98,99.0,134.0,56.12,3,1,1
2009-01-06 04:00:00,0.3872093023255814,0.38438538205980066,0.48887043189368773,100,99.0,136.0,55.68,4,1,1
2009-01-06 05:00:00,0.4098006644518273,0.3956810631229236,0.5029900332225914,108,103.0,141.0,55.0,5,1,1
2009-01-06 06:00:00,0.443687707641196,0.42674418604651165,0.5340531561461794,120,114.0,152.0,54.08,6,1,1
2009-01-06 07:00:00,0.5199335548172758,0.48887043189368773,0.5764119601328903,147,136.0,167.0,53.6,7,1,1
2009-01-06 08:00:00,0.5453488372093023,0.49169435215946844,0.5990033222591362,156,137.0,175.0,53.08,8,1,1
2009-01-06 09:00:00,0.5171096345514951,0.4662790697674418,0.5792358803986711,146,128.0,168.0,53.04,9,1,1
2009-01-06 10:00:00,0.5199335548172758,0.4578073089700997,0.5453488372093023,147,125.0,156.0,53.88,10,1,1
2009-01-06 11:00:00,0.5199335548172758,0.44651162790697674,0.5114617940199335,147,121.0,144.0,54.2,11,1,1
2009-01-06 12:00:00,0.5171096345514951,0.4323920265780731,0.47475083056478407,146,116.0,131.0,53.76,12,1,1
2009-01-06 13:00:00,0.5142857142857142,0.4210963455149501,0.44651162790697674,145,112.0,121.0,54.52,13,1,1
2009-01-06 14:00:00,0.5029900332225914,0.40697674418604646,0.42392026578073083,141,107.0,113.0,54.84,14,1,1
2009-01-06 15:00:00,0.49734219269102986,0.40132890365448504,0.4098006644518273,139,105.0,108.0,53.6,15,1,1
2009-01-06 16:00:00,0.5058139534883721,0.40415282392026575,0.40697674418604646,142,106.0,107.0,52.12,16,1,1
2009-01-06 17:00:00,0.5312292358803986,0.42674418604651165,0.42392026578073083,151,114.0,113.0,50.8,17,1,1
2009-01-06 18:00:00,0.5792358803986711,0.4832225913621262,0.5029900332225914,168,134.0,141.0,49.96,18,1,1
2009-01-06 19:00:00,0.5877076411960133,0.5114617940199335,0.5566445182724252,171,144.0,160.0,49.68,19,1,1
2009-01-06 20:00:00,0.5792358803986711,0.5086378737541528,0.5735880398671096,168,143.0,166.0,49.6,20,1,1
2009-01-06 21:00:00,0.5679401993355482,0.5001661129568106,0.5820598006644518,164,140.0,169.0,49.56,21,1,1
2009-01-06 22:00:00,0.5425249169435216,0.47475083056478407,0.5735880398671096,155,131.0,166.0,49.68,22,1,1
2009-01-06 23:00:00,0.5058139534883721,0.4408637873754153,0.5453488372093023,142,119.0,156.0,50.6,23,1,1
2009-01-07 00:00:00,0.46910299003322253,0.40697674418604646,0.5142857142857142,129,107.0,145.0,53.32,0,2,1
2009-01-07 01:00:00,0.4380398671096345,0.3872093023255814,0.486046511627907,118,100.0,135.0,55.44,1,2,1
2009-01-07 02:00:00,0.4210963455149501,0.38156146179401995,0.47192691029900335,112,98.0,130.0,57.12,2,2,1
2009-01-07 03:00:00,0.4098006644518273,0.38156146179401995,0.4634551495016611,108,98.0,127.0,58.92,3,2,1
2009-01-07 04:00:00,0.40415282392026575,0.3872093023255814,0.4634551495016611,106,100.0,127.0,60.72,4,2,1
2009-01-07 05:00:00,0.40697674418604646,0.4098006644518273,0.47475083056478407,107,108.0,131.0,61.76,5,2,1
2009-01-07 06:00:00,0.42956810631229236,0.443687707641196,0.49734219269102986,115,120.0,139.0,63.8,6,2,1
2009-01-07 07:00:00,0.4775747508305648,0.5199335548172758,0.5284053156146179,132,147.0,150.0,63.76,7,2,1
2009-01-07 08:00:00,0.46910299003322253,0.5453488372093023,0.5453488372093023,129,156.0,156.0,63.32,8,2,1
2009-01-07 09:00:00,0.42956810631229236,0.5171096345514951,0.5368770764119601,115,146.0,153.0,63.2,9,2,1
2009-01-07 10:00:00,0.4182724252491694,0.5199335548172758,0.5114617940199335,111,147.0,144.0,62.52,10,2,1
2009-01-07 11:00:00,0.4154485049833887,0.5199335548172758,0.49169435215946844,110,147.0,137.0,62.0,11,2,1
2009-01-07 12:00:00,0.4154485049833887,0.5171096345514951,0.4803986710963455,110,146.0,133.0,61.44,12,2,1
2009-01-07 13:00:00,0.4154485049833887,0.5142857142857142,0.46910299003322253,110,145.0,129.0,61.92,13,2,1
2009-01-07 14:00:00,0.4098006644518273,0.5029900332225914,0.46910299003322253,108,141.0,129.0,61.8,14,2,1
2009-01-07 15:00:00,0.40697674418604646,0.49734219269102986,0.47475083056478407,107,139.0,131.0,60.76,15,2,1
2009-01-07 16:00:00,0.4098006644518273,0.5058139534883721,0.5001661129568106,108,142.0,140.0,58.72,16,2,1
2009-01-07 17:00:00,0.4352159468438538,0.5312292358803986,0.5594684385382059,117,151.0,161.0,56.68,17,2,1
2009-01-07 18:00:00,0.48887043189368773,0.5792358803986711,0.6611295681063123,136,168.0,197.0,53.44,18,2,1
2009-01-07 19:00:00,0.5029900332225914,0.5877076411960133,0.706312292358804,141,171.0,213.0,51.04,19,2,1
2009-01-07 20:00:00,0.4775747508305648,0.5792358803986711,0.7091362126245847,132,168.0,214.0,49.24,20,2,1
2009-01-07 21:00:00,0.49451827242524915,0.5679401993355482,0.7091362126245847,138,164.0,214.0,47.56,21,2,1
2009-01-07 22:00:00,0.5058139534883721,0.5425249169435216,0.7034883720930233,142,155.0,212.0,46.24,22,2,1
2009-01-07 23:00:00,0.49734219269102986,0.5058139534883721,0.6893687707641196,139,142.0,207.0,45.4,23,2,1
2009-01-08 00:00:00,0.4803986710963455,0.46910299003322253,0.6837209302325582,133,129.0,205.0,44.8,0,3,1
2009-01-08 01:00:00,0.46910299003322253,0.4380398671096345,0.675249169435216,129,118.0,202.0,43.8,1,3,1
2009-01-08 02:00:00,0.4662790697674418,0.4210963455149501,0.675249169435216,128,112.0,202.0,43.12,2,3,1
2009-01-08 03:00:00,0.46910299003322253,0.4098006644518273,0.6780730897009967,129,108.0,203.0,42.28,3,3,1
2009-01-08 04:00:00,0.486046511627907,0.40415282392026575,0.6837209302325582,135,106.0,205.0,41.76,4,3,1
2009-01-08 05:00:00,0.5058139534883721,0.40697674418604646,0.7006644518272426,142,107.0,211.0,40.48,5,3,1
2009-01-08 06:00:00,0.5481727574750831,0.42956810631229236,0.7260797342192691,157,115.0,220.0,39.96,6,3,1
2009-01-08 07:00:00,0.6244186046511628,0.4775747508305648,0.7543189368770764,184,132.0,230.0,39.84,7,3,1
2009-01-08 08:00:00,0.6300664451827243,0.46910299003322253,0.7740863787375416,186,129.0,237.0,40.44,8,3,1
2009-01-08 09:00:00,0.5877076411960133,0.42956810631229236,0.7684385382059801,171,115.0,235.0,42.56,9,3,1
2009-01-08 10:00:00,0.5651162790697675,0.4182724252491694,0.7514950166112957,163,111.0,229.0,44.96,10,3,1
2009-01-08 11:00:00,0.5481727574750831,0.4154485049833887,0.7260797342192691,157,110.0,220.0,46.8,11,3,1
2009-01-08 12:00:00,0.5340531561461794,0.4154485049833887,0.6893687707641196,152,110.0,207.0,48.96,12,3,1
2009-01-08 13:00:00,0.5255813953488372,0.4154485049833887,0.6441860465116279,149,110.0,191.0,50.24,13,3,1
2009-01-08 14:00:00,0.5086378737541528,0.4098006644518273,0.6046511627906976,143,108.0,177.0,51.28,14,3,1
2009-01-08 15:00:00,0.48887043189368773,0.40697674418604646,0.5764119601328903,136,107.0,167.0,51.2,15,3,1
2009-01-08 16:00:00,0.4803986710963455,0.4098006644518273,0.5679401993355482,133,108.0,164.0,51.12,16,3,1
2009-01-08 17:00:00,0.5086378737541528,0.4352159468438538,0.5990033222591362,143,117.0,175.0,48.92,17,3,1
2009-01-08 18:00:00,0.5792358803986711,0.48887043189368773,0.695016611295681,168,136.0,209.0,46.8,18,3,1
2009-01-08 19:00:00,0.6215946843853821,0.5029900332225914,0.7458471760797343,183,141.0,227.0,44.48,19,3,1
2009-01-08 20:00:00,0.6300664451827243,0.4775747508305648,0.7599667774086379,186,132.0,232.0,43.2,20,3,1
2009-01-08 21:00:00,0.632890365448505,0.49451827242524915,0.7656146179401994,187,138.0,234.0,41.56,21,3,1
2009-01-08 22:00:00,0.6244186046511628,0.5058139534883721,0.7599667774086379,184,142.0,232.0,39.76,22,3,1
2009-01-08 23:00:00,0.6018272425249169,0.49734219269102986,0.737375415282392,176,139.0,224.0,38.12,23,3,1
2009-01-09 00:00:00,0.5764119601328903,0.4803986710963455,0.7147840531561462,167,133.0,216.0,36.56,0,4,1
2009-01-09 01:00:00,0.5651162790697675,0.46910299003322253,0.6978405315614619,163,129.0,210.0,34.84,1,4,1
2009-01-09 02:00:00,0.5679401993355482,0.4662790697674418,0.695016611295681,164,128.0,209.0,33.68,2,4,1
2009-01-09 03:00:00,0.5764119601328903,0.46910299003322253,0.6978405315614619,167,129.0,210.0,32.32,3,4,1
2009-01-09 04:00:00,0.590531561461794,0.486046511627907,0.6978405315614619,172,135.0,210.0,31.16,4,4,1
2009-01-09 05:00:00,0.6187707641196013,0.5058139534883721,0.706312292358804,182,142.0,213.0,30.28,5,4,1
2009-01-09 06:00:00,0.6667774086378738,0.5481727574750831,0.7232558139534884,199,157.0,219.0,29.56,6,4,1
2009-01-09 07:00:00,0.7458471760797343,0.6244186046511628,0.7514950166112957,227,184.0,229.0,29.16,7,4,1
2009-01-09 08:00:00,0.7514950166112957,0.6300664451827243,0.7627906976744186,229,186.0,233.0,29.4,8,4,1
2009-01-09 09:00:00,0.6893687707641196,0.5877076411960133,0.737375415282392,207,171.0,224.0,33.72,9,4,1
2009-01-09 10:00:00,0.6385382059800665,0.5651162790697675,0.6921926910299003,189,163.0,208.0,37.28,10,4,1
2009-01-09 11:00:00,0.590531561461794,0.5481727574750831,0.6526578073089702,172,157.0,194.0,40.0,11,4,1
2009-01-09 12:00:00,0.5509966777408638,0.5340531561461794,0.6300664451827243,158,152.0,186.0,42.44,12,4,1
2009-01-09 13:00:00,0.5114617940199335,0.5255813953488372,0.6131229235880399,144,149.0,180.0,44.52,13,4,1
2009-01-09 14:00:00,0.4832225913621262,0.5086378737541528,0.6018272425249169,134,143.0,176.0,46.24,14,4,1
2009-01-09 15:00:00,0.4662790697674418,0.48887043189368773,0.5933554817275748,128,136.0,173.0,47.28,15,4,1
2009-01-09 16:00:00,0.4662790697674418,0.4803986710963455,0.5990033222591362,128,133.0,175.0,47.4,16,4,1
2009-01-09 17:00:00,0.49734219269102986,0.5086378737541528,0.6102990033222592,139,143.0,179.0,45.48,17,4,1
2009-01-09 18:00:00,0.5820598006644518,0.5792358803986711,0.6498338870431893,169,168.0,193.0,41.04,18,4,1
2009-01-09 19:00:00,0.6413621262458472,0.6215946843853821,0.6611295681063123,190,183.0,197.0,38.0,19,4,1
2009-01-09 20:00:00,0.6583056478405316,0.6300664451827243,0.6526578073089702,196,186.0,194.0,36.04,20,4,1
2009-01-09 21:00:00,0.663953488372093,0.632890365448505,0.6441860465116279,198,187.0,191.0,35.2,21,4,1
2009-01-09 22:00:00,0.663953488372093,0.6244186046511628,0.6300664451827243,198,184.0,186.0,34.32,22,4,1
2009-01-09 23:00:00,0.6498338870431893,0.6018272425249169,0.6046511627906976,193,176.0,177.0,33.4,23,4,1
2009-01-10 00:00:00,0.6272425249169435,0.5764119601328903,0.5792358803986711,185,167.0,168.0,33.12,0,5,1
2009-01-10 01:00:00,0.6131229235880399,0.5651162790697675,0.5622923588039866,180,163.0,162.0,32.68,1,5,1
2009-01-10 02:00:00,0.6046511627906976,0.5679401993355482,0.5538205980066445,177,164.0,159.0,32.96,2,5,1
2009-01-10 03:00:00,0.6018272425249169,0.5764119601328903,0.5509966777408638,176,167.0,158.0,32.88,3,5,1
2009-01-10 04:00:00,0.6046511627906976,0.590531561461794,0.5594684385382059,177,172.0,161.0,32.64,4,5,1
2009-01-10 05:00:00,0.6102990033222592,0.6187707641196013,0.5735880398671096,179,182.0,166.0,33.08,5,5,1
2009-01-10 06:00:00,0.6272425249169435,0.6667774086378738,0.5990033222591362,185,199.0,175.0,32.64,6,5,1
2009-01-10 07:00:00,0.6526578073089702,0.7458471760797343,0.6244186046511628,194,227.0,184.0,33.48,7,5,1
2009-01-10 08:00:00,0.675249169435216,0.7514950166112957,0.6498338870431893,202,229.0,193.0,34.44,8,5,1
2009-01-10 09:00:00,0.663953488372093,0.6893687707641196,0.6498338870431893,198,207.0,193.0,41.96,9,5,1
2009-01-10 10:00:00,0.6159468438538206,0.6385382059800665,0.6102990033222592,181,189.0,179.0,48.2,10,5,1
2009-01-10 11:00:00,0.5651162790697675,0.590531561461794,0.5622923588039866,163,172.0,162.0,52.84,11,5,1
2009-01-10 12:00:00,0.5199335548172758,0.5509966777408638,0.5199335548172758,147,158.0,147.0,55.76,12,5,1
2009-01-10 13:00:00,0.4832225913621262,0.5114617940199335,0.4832225913621262,134,144.0,134.0,57.64,13,5,1
2009-01-10 14:00:00,0.45215946843853816,0.4832225913621262,0.45215946843853816,123,134.0,123.0,59.2,14,5,1
2009-01-10 15:00:00,0.4323920265780731,0.4662790697674418,0.4323920265780731,116,128.0,116.0,59.68,15,5,1
